# CALIBRATION DONE VIA bohlin-MODEL of VEGA
# ----------------------------------- NOTES ON INDIVIDUAL SYSTEMS  -------
# ----------------------------------- can be important!!!          -------
#
# Johnson calibration from Asagio A&A card (Vega from UBVRIJKLMNH Photo-electric Catalogue, Morel et al., 1978)
# Landolt UBVRI from synphot http://www.stsci.edu/hst/HST_overview/documents/synphot/c034.html#335184
#    references in synphot are Bohlin & Gilliland (2004), Maíz Apellániz (2006), Holberg & Bergeron (2006)
# TD1 calibration derived myself
# SDSS calibration from site above, but VEGA mags from Holberg & Bergeron 2006, compatible with http://www.sdss.org/dr6/algorithms/sdssUBVRITransform.html
# GALEX from http://galexgi.gsfc.nasa.gov/docs/galex/FAQ/counts_background.html
#   ---> make sure to take the GALEX calibration from the literature, this is much safer I guess
# GAIA Calibrations are pre-launch and thus only for simulation purposes
# MIPS from Rieke et al, 2006 or Engelbrach (ssc.spitzer.caltech.edu/mips/calib)
#      Be careful, IRAC and MIPS calibrations are not for the 'weighted average'
#      flux, but come readily from the calibration tables.
#      Here, the lambda_eff is calculated as the weighted average of the
#      response curve
# BESSEL response curves from CHORIZOS, zeropoints from Bessel, 1990
# IPHAS is defined as 0 magnitude for r', i' and Ha band for Vega (Drew et al., 2005)
# UVEX is defined as 0 magnitude in all bands (Paul Groot, priv. comm.)
# WISE zeropoints defined in Wright 2010 ""zeropoints on the Vega system in the WISE passbands of Flam = 8.180e−15, 2.415e−15, 6.515e−17 & 5.090e−18 W/cm2/µm, which convert""
# STROMGREN calibration from Maiz-Apellaniz (2007) (used to be from synphot user guide and earlier from Asagio A&A card)
#    ----> used to be STROMGREN   U   3.25e-09   0   0   0   1.288   1.06679608688e-08   
#                     STROMGREN   V   7.18e-09   0   0   0   0.040   7.57261249786e-09   
#                     STROMGREN   B   5.81e-09   0   0   0   -0.120   5.11028586313e-09   
#                     STROMGREN   Y   3.70e-09   0   0   0   -0.123   3.20363998209e-09
#    ----> SYNPHOT: STROMGREN   U   3.25e-09   0   0   0   1.459   1.24876700135e-08   
#                   STROMGREN   V   7.18e-09   0   0   0   0.206   8.82359841247e-09   
#                   STROMGREN   B   5.81e-09   0   0   0   0.045   5.949016791e-09   
#                   STROMGREN   Y   3.70e-09   0   0   0   0.038   3.71572620327e-09
#    ----> MAIZ-APELLANIZ: STROMGREN   U   -   0   0   0   1.432   -
#                          STROMGREN   V   -   0   0   0   0.179   -
#                          STROMGREN   B   -   0   0   0   0.018   -
#                          STROMGREN   Y   -   0   0   0   0.014   -
# COUSINS.V is a copy of JOHNSON.V
#=================================
# THE FOLLOWING SYSTEMS HAVE BEEN THOROUGHLY CHECKED (both zeropoints and magnitude)
#
#- STROMGREN (Maiz-Apellaniz 2007, Chorizos)
#- 2MASS     (Maiz-Apellaniz 2007, Chorizos)
#- SDSS      (Maiz-Apellaniz 2007, Chorizos)
#- TYCHO2    (Maiz-Apellaniz 2007, Chorizos)
#- COUSINS   (Maiz-Apellaniz 2007, Chorizos)
#- LANDOLT   (SYNPHOT, but confusion between B2 and B3 (same zeropoint assumed))
#- GENEVA    (Rufener database and GCPD)
#- BESSELL   (Bessel, 1990)  #-- but based on old Vega model (1980, see paper): Use colors (otherwise ZP(B)=-0.102)
#
#
# THE FOLLOWING SYSTEMS ARE VERY UNCERTAIN
#- JOHNSON
#=================================
#photband               eff_wave type    vegamag vegamag_lit ABmag ABmag_lit STmag STmag_lit       Flam0 Flam0_units  Flam0_lit        Fnu0 Fnu0_units   Fnu0_lit source                                                               
#<S50                        >f8 |S3         >f8       int32   >f8     int32   >f8     int32         >f8 |S50             int32         >f8 |S50            int32 |S100                                                                
 COUSINS.R               6499.87 CCD        0.03           1   nan         0   nan         0 2.19313e-09 erg/s/cm2/AA         0 3.06728e-20 erg/s/cm2/Hz        0 Maiz-Appellaniz2007                                                  
 COUSINS.V               5504.67 CCD       0.026           1   nan         0   nan         0 3.58315e-09 erg/s/cm2/AA         0 3.69669e-20 erg/s/cm2/Hz        0 Maiz-Appellaniz2007                                                  
 DDO.35                  3458.23 CCD         nan           0   nan         0   nan         0 3.17443e-09 erg/s/cm2/AA         0 1.27115e-20 erg/s/cm2/Hz        0 nan                                                                  
 DDO.38                  3820.74 CCD         nan           0   nan         0   nan         0 5.37509e-09 erg/s/cm2/AA         0  2.6729e-20 erg/s/cm2/Hz        0 nan                                                                  
 DDO.41                  4164.08 CCD         nan           0   nan         0   nan         0 7.71911e-09 erg/s/cm2/AA         0 4.46681e-20 erg/s/cm2/Hz        0 nan                                                                  
 DDO.42                  4255.76 CCD         nan           0   nan         0   nan         0 7.42918e-09 erg/s/cm2/AA         0 4.48765e-20 erg/s/cm2/Hz        0 nan                                                                  
 DDO.45                  4520.55 CCD         nan           0   nan         0   nan         0 6.29948e-09 erg/s/cm2/AA         0  4.2938e-20 erg/s/cm2/Hz        0 nan                                                                  
 DDO.48                  4883.17 CCD         nan           0   nan         0   nan         0 4.60439e-09 erg/s/cm2/AA         0 3.66418e-20 erg/s/cm2/Hz        0 nan                                                                  
 DDO.51                  5128.43 CCD         nan           0   nan         0   nan         0 4.37691e-09 erg/s/cm2/AA         0 3.83867e-20 erg/s/cm2/Hz        0 nan                                                                  
 DENIS.I                 7825.32 CCD        0.04           0   nan         0   nan         0     1.2e-08 W/m2/mum             1        2499 Jy                  1 Fouque_etal.2000                                                     
 DENIS.J                   12374 CCD       0.032           0   nan         0   nan         0    3.17e-09 W/m2/mum             1        1595 Jy                  1 Fouque_etal.2000                                                     
 DENIS.KS                  21415 CCD       0.041           0   nan         0   nan         0    4.34e-10 W/m2/mum             1         665 Jy                  1 Fouque_etal.2000                                                     
 DIRBE.F100               977021 BOL         nan           0   nan         0   nan         0 1.43337e-17 erg/s/cm2/AA         0 4.48346e-24 erg/s/cm2/Hz        0 nan                                                                  
 DIRBE.F12                122948 BOL         nan           0   nan         0   nan         0 6.51649e-14 erg/s/cm2/AA         0  3.1533e-22 erg/s/cm2/Hz        0 nan                                                                  
 DIRBE.F140          1.47889e+06 BOL         nan           0   nan         0   nan         0 2.72082e-18 erg/s/cm2/AA         0 1.94504e-24 erg/s/cm2/Hz        0 nan                                                                  
 DIRBE.F1_25             12666.1 BOL         nan           0   nan         0   nan         0 2.93465e-10 erg/s/cm2/AA         0 1.56131e-20 erg/s/cm2/Hz        0 nan                                                                  
 DIRBE.F240          2.47856e+06 BOL         nan           0   nan         0   nan         0 3.86145e-19 erg/s/cm2/AA         0 7.24944e-25 erg/s/cm2/Hz        0 nan                                                                  
 DIRBE.F25                207909 BOL         nan           0   nan         0   nan         0 7.10896e-15 erg/s/cm2/AA         0 1.00527e-22 erg/s/cm2/Hz        0 nan                                                                  
 DIRBE.F2_2              22201.2 BOL         nan           0   nan         0   nan         0 3.92138e-11 erg/s/cm2/AA         0 6.43052e-21 erg/s/cm2/Hz        0 nan                                                                  
 DIRBE.F3_5                35338 BOL         nan           0   nan         0   nan         0  6.9399e-12 erg/s/cm2/AA         0  2.8721e-21 erg/s/cm2/Hz        0 nan                                                                  
 DIRBE.F4_9              48826.3 BOL         nan           0   nan         0   nan         0 1.94259e-12 erg/s/cm2/AA         0 1.54205e-21 erg/s/cm2/Hz        0 nan                                                                  
 DIRBE.F60                560906 BOL         nan           0   nan         0   nan         0 1.41579e-16 erg/s/cm2/AA         0 1.44511e-23 erg/s/cm2/Hz        0 nan                                                                  
 EEV4280.CCD             6003.93 CCD         nan           0   nan         0   nan         0 2.60702e-09 erg/s/cm2/AA         0 3.19862e-20 erg/s/cm2/Hz        0 nan                                                                  
 ESOIR.BRG                 21610 CCD           0           1   nan         0   nan         0    4.38e-13 W/m2/nm              1         683 Jy                  1 van_Der_Bliek_1996                                                   
 ESOIR.CO                  22910 CCD           0           1   nan         0   nan         0    3.54e-13 W/m2/nm              1         619 Jy                  1 van_Der_Bliek_1996                                                   
 ESOIR.H0                15398.2 CCD           0           1   nan         0   nan         0    1.37e-12 W/m2/nm              1        1140 Jy                  1 van_Der_Bliek_1996                                                   
 ESOIR.K0                  22210 CCD           0           1   nan         0   nan         0    3.97e-13 W/m2/nm              1         653 Jy                  1 van_Der_Bliek_1996                                                   
 ESOIR.L0                  37060 CCD           0           1   nan         0   nan         0    5.78e-14 W/m2/nm              1         265 Jy                  1 van_Der_Bliek_1996                                                   
 ESOIR.N                  114659 CCD           0           1   nan         0   nan         0    1.29e-15 W/m2/nm              1        41.7 Jy                  1 van_Der_Bliek_1996                                                   
 ESOIR.N                  114659 CCD           0           1   nan         0   nan         0    1.09e-16 W/m2/nm              1        12.3 Jy                  1 van_Der_Bliek_1996                                                   
 ESOIR.N1                  83610 CCD           0           1   nan         0   nan         0     2.5e-15 W/m2/nm              1        57.8 Jy                  1 van_Der_Bliek_1996                                                   
 ESOIR.N2                  97870 CCD           0           1   nan         0   nan         0     1.4e-15 W/m2/nm              1        43.5 Jy                  1 van_Der_Bliek_1996                                                   
 ESOIR.N3                 128190 CCD           0           1   nan         0   nan         0    4.64e-16 W/m2/nm              1        25.3 Jy                  1 van_Der_Bliek_1996                                                   
 ESOIR.Q0                 183618 CCD         nan           0   nan         0   nan         0 1.20428e-14 erg/s/cm2/AA         0 1.35437e-22 erg/s/cm2/Hz        0 nan                                                                  
 GAIA.BP                 5437.48 CCD        0.03           1   nan         0   nan         0 3.66471e-09 erg/s/cm2/AA         0 3.59649e-20 erg/s/cm2/Hz        0 nan                                                                  
 GAIA.G                  6710.93 CCD        0.03           1   nan         0   nan         0 2.18634e-09 erg/s/cm2/AA         0 3.19934e-20 erg/s/cm2/Hz        0 nan                                                                  
 GAIA.RP                 7979.59 CCD        0.03           1   nan         0   nan         0 1.19528e-09 erg/s/cm2/AA         0 2.50633e-20 erg/s/cm2/Hz        0 nan                                                                  
 GAIA.RVS                8597.12 CCD        0.03           1   nan         0   nan         0 8.99474e-10 erg/s/cm2/AA         0 2.21745e-20 erg/s/cm2/Hz        0 nan                                                                  
 GALEX.FUV               1538.62 CCD         nan           0 0.029         1   nan         0 4.72496e-08 erg/s/cm2/AA         1 3.71398e-20 erg/s/cm2/Hz        0 http://galexgi.gsfc.nasa.gov/docs/galex/FAQ/counts_background.html   
 GALEX.NUV               2315.66 CCD         nan           0 0.095         1   nan         0 2.21466e-08 erg/s/cm2/AA         1 3.91055e-20 erg/s/cm2/Hz        0 http://galexgi.gsfc.nasa.gov/docs/galex/FAQ/counts_background.html   
 GENEVA.B                4200.85 CCD      -0.898           1   nan         0   nan         0 6.51814e-09 erg/s/cm2/AA         0 3.88163e-20 erg/s/cm2/Hz        0 Rufener1988                                                          
 GENEVA.B1               4003.78 CCD       0.002           1   nan         0   nan         0 6.58414e-09 erg/s/cm2/AA         0 3.55999e-20 erg/s/cm2/Hz        0 Rufener1988                                                          
 GENEVA.B2               4477.56 CCD       0.612           1   nan         0   nan         0 6.20794e-09 erg/s/cm2/AA         0 4.15097e-20 erg/s/cm2/Hz        0 Rufener1988                                                          
 GENEVA.G                5765.89 CCD        1.27           1   nan         0   nan         0 3.11095e-09 erg/s/cm2/AA         0    3.44e-20 erg/s/cm2/Hz        0 Rufener1988                                                          
 GENEVA.U                3421.62 CCD       0.607           1   nan         0   nan         0 3.22328e-09 erg/s/cm2/AA         0 1.26454e-20 erg/s/cm2/Hz        0 Rufener1988                                                          
 GENEVA.V                 5482.6 CCD       0.061           1   nan         0   nan         0 3.61964e-09 erg/s/cm2/AA         0 3.65226e-20 erg/s/cm2/Hz        0 Rufener1988                                                          
 GENEVA.V1               5395.63 CCD       0.764           1   nan         0   nan         0 3.78179e-09 erg/s/cm2/AA         0 3.69382e-20 erg/s/cm2/Hz        0 Rufener1988                                                          
 HIPPARCOS.HP            5275.11 CCD       0.026           1   nan         0   nan         0 4.06145e-09 erg/s/cm2/AA         0 3.67714e-20 erg/s/cm2/Hz        0 ASIAGO(same_as_JOHNSON.V)                                            
 IPHAS.HA                6568.06 CCD           0           1   nan         0   nan         0 1.81344e-09 erg/s/cm2/AA         0 2.60944e-20 erg/s/cm2/Hz        0 Drew_etal.2005                                                       
 IPHAS.IP                7671.27 CCD           0           1   nan         0   nan         0 1.30528e-09 erg/s/cm2/AA         0 2.55384e-20 erg/s/cm2/Hz        0 Drew_etal.2005                                                       
 IPHAS.RP                6216.15 CCD           0           1   nan         0   nan         0 2.47671e-09 erg/s/cm2/AA         0 3.23745e-20 erg/s/cm2/Hz        0 Drew_etal.2005                                                       
 IRAC.36                 35375.4 BOL         nan           0   nan         0   nan         0         nan nan                  0       277.5 Jy                  1 http://web.ipac.caltech.edu/staff/gillian/cal.html                   
 IRAC.45                 44750.7 BOL         nan           0   nan         0   nan         0         nan nan                  0       179.5 Jy                  1 http://web.ipac.caltech.edu/staff/gillian/cal.html                   
 IRAC.58                 57019.3 BOL         nan           0   nan         0   nan         0         nan nan                  0       116.6 Jy                  1 http://web.ipac.caltech.edu/staff/gillian/cal.html                   
 IRAC.80                 77843.6 BOL         nan           0   nan         0   nan         0         nan nan                  0        63.1 Jy                  1 http://web.ipac.caltech.edu/staff/gillian/cal.html                   
 IRAS.F100           1.01948e+06 BOL         nan           0   nan         0   nan         0 1.27666e-17 erg/s/cm2/AA         0 4.21191e-24 erg/s/cm2/Hz        0 nan                                                                  
 IRAS.F12                 115980 BOL         nan           0   nan         0   nan         0 8.99122e-14 erg/s/cm2/AA         0 3.64825e-22 erg/s/cm2/Hz        0 nan                                                                  
 IRAS.F25                 238775 BOL         nan           0   nan         0   nan         0 4.60991e-15 erg/s/cm2/AA         0 8.18366e-23 erg/s/cm2/Hz        0 nan                                                                  
 IRAS.F60                 614850 BOL         nan           0   nan         0   nan         0 1.23233e-16 erg/s/cm2/AA         0  1.3897e-23 erg/s/cm2/Hz        0 nan                                                                  
 ISOCAM.LW1              44997.9 BOL         nan           0   nan         0   nan         0  2.7547e-12 erg/s/cm2/AA         0 1.83505e-21 erg/s/cm2/Hz        0 nan                                                                  
 ISOCAM.LW10              116979 BOL         nan           0   nan         0   nan         0  8.2868e-14 erg/s/cm2/AA         0 3.47187e-22 erg/s/cm2/Hz        0 nan                                                                  
 ISOCAM.LW2              68135.1 BOL         nan           0   nan         0   nan         0 6.55288e-13 erg/s/cm2/AA         0 9.48141e-22 erg/s/cm2/Hz        0 nan                                                                  
 ISOCAM.LW3               144862 BOL         nan           0   nan         0   nan         0 2.99587e-14 erg/s/cm2/AA         0 2.02519e-22 erg/s/cm2/Hz        0 nan                                                                  
 ISOCAM.LW4              60078.5 BOL         nan           0   nan         0   nan         0 8.90277e-13 erg/s/cm2/AA         0 1.06024e-21 erg/s/cm2/Hz        0 nan                                                                  
 ISOCAM.LW5              67877.6 BOL         nan           0   nan         0   nan         0 5.37998e-13 erg/s/cm2/AA         0 8.24742e-22 erg/s/cm2/Hz        0 nan                                                                  
 ISOCAM.LW6              77478.4 BOL         nan           0   nan         0   nan         0 3.28415e-13 erg/s/cm2/AA         0 6.50625e-22 erg/s/cm2/Hz        0 nan                                                                  
 ISOCAM.LW7              96797.9 BOL         nan           0   nan         0   nan         0 1.40631e-13 erg/s/cm2/AA         0 4.31139e-22 erg/s/cm2/Hz        0 nan                                                                  
 ISOCAM.LW8               113338 BOL         nan           0   nan         0   nan         0 7.16443e-14 erg/s/cm2/AA         0  3.0585e-22 erg/s/cm2/Hz        0 nan                                                                  
 ISOCAM.LW9               149177 BOL         nan           0   nan         0   nan         0 2.41792e-14 erg/s/cm2/AA         0 1.78663e-22 erg/s/cm2/Hz        0 nan                                                                  
 ISOCAM.SW1              35896.7 BOL         nan           0   nan         0   nan         0  6.7493e-12 erg/s/cm2/AA         0 2.83774e-21 erg/s/cm2/Hz        0 nan                                                                  
 ISOCAM.SW10             46333.2 BOL         nan           0   nan         0   nan         0 2.37437e-12 erg/s/cm2/AA         0 1.69638e-21 erg/s/cm2/Hz        0 nan                                                                  
 ISOCAM.SW11             42232.8 BOL         nan           0   nan         0   nan         0 3.38673e-12 erg/s/cm2/AA         0 2.01309e-21 erg/s/cm2/Hz        0 nan                                                                  
 ISOCAM.SW2              33050.7 BOL         nan           0   nan         0   nan         0 8.70066e-12 erg/s/cm2/AA         0 3.16453e-21 erg/s/cm2/Hz        0 nan                                                                  
 ISOCAM.SW3              44382.2 BOL         nan           0   nan         0   nan         0 2.91552e-12 erg/s/cm2/AA         0 1.88722e-21 erg/s/cm2/Hz        0 nan                                                                  
 ISOCAM.SW4              27828.9 BOL         nan           0   nan         0   nan         0 1.70274e-11 erg/s/cm2/AA         0 4.35452e-21 erg/s/cm2/Hz        0 nan                                                                  
 ISOCAM.SW5              41251.5 BOL         nan           0   nan         0   nan         0 4.57532e-12 erg/s/cm2/AA         0 2.42243e-21 erg/s/cm2/Hz        0 nan                                                                  
 ISOCAM.SW6              37000.4 BOL         nan           0   nan         0   nan         0 5.71313e-12 erg/s/cm2/AA         0 2.59513e-21 erg/s/cm2/Hz        0 nan                                                                  
 ISOCAM.SW7              30453.6 BOL         nan           0   nan         0   nan         0 1.19394e-11 erg/s/cm2/AA         0 3.68221e-21 erg/s/cm2/Hz        0 nan                                                                  
 ISOCAM.SW8              40528.7 BOL         nan           0   nan         0   nan         0 3.93782e-12 erg/s/cm2/AA         0 2.15547e-21 erg/s/cm2/Hz        0 nan                                                                  
 ISOCAM.SW9              38650.8 BOL         nan           0   nan         0   nan         0 4.75994e-12 erg/s/cm2/AA         0 2.36961e-21 erg/s/cm2/Hz        0 nan                                                                  
 JOHNSON.110             11078.7 CCD       0.039           1   nan         0   nan         0 4.54025e-10 erg/s/cm2/AA         0 1.85576e-20 erg/s/cm2/Hz        0 nan                                                                  
 JOHNSON.33              3366.72 CCD       0.091           1   nan         0   nan         0  3.2259e-09 erg/s/cm2/AA         0 1.22666e-20 erg/s/cm2/Hz        0 nan                                                                  
 JOHNSON.35               3559.9 CCD       0.074           1   nan         0   nan         0 3.13021e-09 erg/s/cm2/AA         0 1.30965e-20 erg/s/cm2/Hz        0 nan                                                                  
 JOHNSON.37              3750.29 CCD       0.082           1   nan         0   nan         0 4.31727e-09 erg/s/cm2/AA         0  2.0565e-20 erg/s/cm2/Hz        0 nan                                                                  
 JOHNSON.40              4058.45 CCD       0.052           1   nan         0   nan         0 7.05664e-09 erg/s/cm2/AA         0 3.85773e-20 erg/s/cm2/Hz        0 nan                                                                  
 JOHNSON.45              4559.97 CCD        0.04           1   nan         0   nan         0 5.95346e-09 erg/s/cm2/AA         0 4.19593e-20 erg/s/cm2/Hz        0 nan                                                                  
 JOHNSON.52               5186.4 CCD       0.039           1   nan         0   nan         0  4.2249e-09 erg/s/cm2/AA         0 3.79162e-20 erg/s/cm2/Hz        0 nan                                                                  
 JOHNSON.58               5832.3 CCD       0.038           1   nan         0   nan         0 3.02678e-09 erg/s/cm2/AA         0 3.42362e-20 erg/s/cm2/Hz        0 nan                                                                  
 JOHNSON.58P             5854.78 CCD         nan           0   nan         0   nan         0 2.96211e-09 erg/s/cm2/AA         0 3.39375e-20 erg/s/cm2/Hz        0 nan                                                                  
 JOHNSON.63               6259.5 CCD        0.05           1   nan         0   nan         0 2.27773e-09 erg/s/cm2/AA         0 3.07584e-20 erg/s/cm2/Hz        0 nan                                                                  
 JOHNSON.72              7239.35 CCD       0.031           1   nan         0   nan         0  1.5524e-09 erg/s/cm2/AA         0 2.71174e-20 erg/s/cm2/Hz        0 nan                                                                  
 JOHNSON.80               8002.1 CCD       0.029           1   nan         0   nan         0 1.13226e-09 erg/s/cm2/AA         0 2.41758e-20 erg/s/cm2/Hz        0 nan                                                                  
 JOHNSON.86              8584.69 CCD       0.043           1   nan         0   nan         0 9.12766e-10 erg/s/cm2/AA         0 2.24296e-20 erg/s/cm2/Hz        0 nan                                                                  
 JOHNSON.99              9831.12 CCD       0.028           1   nan         0   nan         0 6.72283e-10 erg/s/cm2/AA         0 2.16627e-20 erg/s/cm2/Hz        0 nan                                                                  
 JOHNSON.B               4448.06 CCD       0.034           1   nan         0   nan         0  6.1307e-09 erg/s/cm2/AA         0 4.02221e-20 erg/s/cm2/Hz        0 Maiz-Appellaniz2007                                                  
 JOHNSON.H               16464.4 CCD        0.02           1   nan         0   nan         0 1.15039e-10 erg/s/cm2/AA         0 1.03731e-20 erg/s/cm2/Hz        0 Morel_etal.1978                                                      
 JOHNSON.I               8778.22 CCD         0.1           1   nan         0   nan         0 9.09942e-10 erg/s/cm2/AA         0 2.31787e-20 erg/s/cm2/Hz        0 Morel_etal.1978                                                      
 JOHNSON.J               12487.8 CCD        0.02           1   nan         0   nan         0 3.11763e-10 erg/s/cm2/AA         0 1.60682e-20 erg/s/cm2/Hz        0 Morel_etal.1978                                                      
 JOHNSON.K               21951.2 CCD        0.02           1   nan         0   nan         0 4.16588e-11 erg/s/cm2/AA         0 6.65137e-21 erg/s/cm2/Hz        0 Morel_etal.1978                                                      
 JOHNSON.L               35395.5 CCD       -0.02           1   nan         0   nan         0 6.91788e-12 erg/s/cm2/AA         0 2.87024e-21 erg/s/cm2/Hz        0 Morel_etal.1978                                                      
 JOHNSON.M               50311.2 CCD       -0.04           1   nan         0   nan         0 1.78777e-12 erg/s/cm2/AA         0   1.498e-21 erg/s/cm2/Hz        0 Morel_etal.1978                                                      
 JOHNSON.N                103566 CCD       -0.01           1   nan         0   nan         0 1.20556e-13 erg/s/cm2/AA         0 4.18344e-22 erg/s/cm2/Hz        0 Morel_etal.1978                                                      
 JOHNSON.R               6939.52 CCD        0.07           1   nan         0   nan         0 1.81615e-09 erg/s/cm2/AA         0 2.88912e-20 erg/s/cm2/Hz        0 Morel_etal.1978                                                      
 JOHNSON.U               3641.75 CCD       0.055           1   nan         0   nan         0  3.9779e-09 erg/s/cm2/AA         0 1.81564e-20 erg/s/cm2/Hz        0 Maiz-Appellaniz2007                                                  
 JOHNSON.V               5504.67 CCD       0.026           1   nan         0   nan         0 3.58315e-09 erg/s/cm2/AA         0 3.69669e-20 erg/s/cm2/Hz        0 Maiz-Appellaniz2007                                                  
 KEPLER.CH0102           6283.57 CCD         nan           0   nan         0   nan         0 2.47062e-09 erg/s/cm2/AA         0 3.47861e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH0304           6298.82 CCD         nan           0   nan         0   nan         0 2.45196e-09 erg/s/cm2/AA         0 3.46705e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH0506           6328.91 CCD         nan           0   nan         0   nan         0 2.41888e-09 erg/s/cm2/AA         0 3.34082e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH0708            6316.8 CCD         nan           0   nan         0   nan         0 2.43212e-09 erg/s/cm2/AA         0 3.34656e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH0910           6329.32 CCD         nan           0   nan         0   nan         0 2.41813e-09 erg/s/cm2/AA         0 3.33968e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH1112            6295.8 CCD         nan           0   nan         0   nan         0 2.45648e-09 erg/s/cm2/AA         0 3.36052e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH1314           6291.06 CCD         nan           0   nan         0   nan         0 2.46033e-09 erg/s/cm2/AA         0 3.35855e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH1516           6335.45 CCD         nan           0   nan         0   nan         0 2.41011e-09 erg/s/cm2/AA         0 3.33411e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH1718           6369.76 CCD         nan           0   nan         0   nan         0 2.38098e-09 erg/s/cm2/AA         0 3.44538e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH1920           6384.32 CCD         nan           0   nan         0   nan         0 2.36547e-09 erg/s/cm2/AA         0  3.3213e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH2122           6386.65 CCD         nan           0   nan         0   nan         0 2.36344e-09 erg/s/cm2/AA         0 3.32119e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH2324           6380.94 CCD         nan           0   nan         0   nan         0 2.36885e-09 erg/s/cm2/AA         0 3.32248e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH2526           6388.26 CCD         nan           0   nan         0   nan         0 2.36216e-09 erg/s/cm2/AA         0  3.4394e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH2728           6323.43 CCD         nan           0   nan         0   nan         0 2.43306e-09 erg/s/cm2/AA         0 3.35835e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH2930           6270.79 CCD         nan           0   nan         0   nan         0 2.48346e-09 erg/s/cm2/AA         0 3.37513e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH3132           6280.35 CCD         nan           0   nan         0   nan         0 2.47236e-09 erg/s/cm2/AA         0 3.36935e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH3334           6314.47 CCD         nan           0   nan         0   nan         0 2.43484e-09 erg/s/cm2/AA         0 3.34841e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH3536           6317.17 CCD         nan           0   nan         0   nan         0  2.4316e-09 erg/s/cm2/AA         0 3.34624e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH3738           6391.24 CCD         nan           0   nan         0   nan         0 2.35609e-09 erg/s/cm2/AA         0 3.31346e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH3940           6366.72 CCD         nan           0   nan         0   nan         0 2.38379e-09 erg/s/cm2/AA         0 3.32857e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH4142           6323.59 CCD         nan           0   nan         0   nan         0 2.42526e-09 erg/s/cm2/AA         0 3.34533e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH4344              6326 CCD         nan           0   nan         0   nan         0 2.42288e-09 erg/s/cm2/AA         0 3.34475e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH4546           6315.58 CCD         nan           0   nan         0   nan         0 2.43328e-09 erg/s/cm2/AA         0 3.34663e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH4748           6321.57 CCD         nan           0   nan         0   nan         0 2.42697e-09 erg/s/cm2/AA         0 3.34491e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH4950           6310.74 CCD         nan           0   nan         0   nan         0 2.43909e-09 erg/s/cm2/AA         0 3.35002e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH5152           6311.78 CCD         nan           0   nan         0   nan         0 2.43819e-09 erg/s/cm2/AA         0 3.35049e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH5354           6306.19 CCD         nan           0   nan         0   nan         0 2.44324e-09 erg/s/cm2/AA         0 3.35577e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH5556           6288.29 CCD         nan           0   nan         0   nan         0 2.46355e-09 erg/s/cm2/AA         0 3.36734e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH5758           6387.78 CCD         nan           0   nan         0   nan         0 2.36212e-09 erg/s/cm2/AA         0  3.4387e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH5960           6366.56 CCD         nan           0   nan         0   nan         0 2.38288e-09 erg/s/cm2/AA         0 3.32709e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH6162            6323.8 CCD         nan           0   nan         0   nan         0 2.42423e-09 erg/s/cm2/AA         0 3.34263e-20 erg/s/cm2/Hz        0 nan                                                                  
 KEPLER.CH6364           6350.55 CCD         nan           0   nan         0   nan         0 2.39401e-09 erg/s/cm2/AA         0 3.32607e-20 erg/s/cm2/Hz        0 nan                                                                  
