# CALIBRATION DONE VIA bohlin-MODEL of VEGA
# ----------------------------------- NOTES ON INDIVIDUAL SYSTEMS  -------
# ----------------------------------- can be important!!!          -------
#
# Johnson calibration from Asagio A&A card (Vega from UBVRIJKLMNH Photo-electric Catalogue, Morel et al., 1978)
# Landolt UBVRI from synphot http://www.stsci.edu/hst/HST_overview/documents/synphot/c034.html#335184
#    references in synphot are Bohlin & Gilliland (2004), Maíz Apellániz (2006), Holberg & Bergeron (2006)
# TD1 calibration derived myself
# SDSS calibration from site above, but VEGA mags from Holberg & Bergeron 2006, compatible with http://www.sdss.org/dr6/algorithms/sdssUBVRITransform.html
# GALEX from http://galexgi.gsfc.nasa.gov/docs/galex/FAQ/counts_background.html
#   ---> make sure to take the GALEX calibration from the literature, this is much safer I guess
# GAIA Calibrations are pre-launch and thus only for simulation purposes
# MIPS from Rieke et al, 2006 or Engelbrach (ssc.spitzer.caltech.edu/mips/calib)
#      Be careful, IRAC and MIPS calibrations are not for the 'weighted average'
#      flux, but come readily from the calibration tables.
#      Here, the lambda_eff is calculated as the weighted average of the
#      response curve
# BESSEL response curves from CHORIZOS, zeropoints from Bessel, 1990
# IPHAS is defined as 0 magnitude for r', i' and Ha band for Vega (Drew et al., 2005)
# UVEX is defined as 0 magnitude in all bands (Paul Groot, priv. comm.)
# WISE zeropoints defined in Wright 2010 ""zeropoints on the Vega system in the WISE passbands of Flam = 8.180e−15, 2.415e−15, 6.515e−17 & 5.090e−18 W/cm2/µm, which convert""
# STROMGREN calibration from Maiz-Apellaniz (2007) (used to be from synphot user guide and earlier from Asagio A&A card)
#    ----> used to be STROMGREN   U   3.25e-09   0   0   0   1.288   1.06679608688e-08   
#                     STROMGREN   V   7.18e-09   0   0   0   0.040   7.57261249786e-09   
#                     STROMGREN   B   5.81e-09   0   0   0   -0.120   5.11028586313e-09   
#                     STROMGREN   Y   3.70e-09   0   0   0   -0.123   3.20363998209e-09
#    ----> SYNPHOT: STROMGREN   U   3.25e-09   0   0   0   1.459   1.24876700135e-08   
#                   STROMGREN   V   7.18e-09   0   0   0   0.206   8.82359841247e-09   
#                   STROMGREN   B   5.81e-09   0   0   0   0.045   5.949016791e-09   
#                   STROMGREN   Y   3.70e-09   0   0   0   0.038   3.71572620327e-09
#    ----> MAIZ-APELLANIZ: STROMGREN   U   -   0   0   0   1.432   -
#                          STROMGREN   V   -   0   0   0   0.179   -
#                          STROMGREN   B   -   0   0   0   0.018   -
#                          STROMGREN   Y   -   0   0   0   0.014   -
# COUSINS.V is a copy of JOHNSON.V
#=================================
# THE FOLLOWING SYSTEMS HAVE BEEN THOROUGHLY CHECKED (both zeropoints and magnitude)
#
#- STROMGREN (Maiz-Apellaniz 2007, Chorizos)
#- 2MASS     (Maiz-Apellaniz 2007, Chorizos)
#- SDSS      (Maiz-Apellaniz 2007, Chorizos)
#- TYCHO2    (Maiz-Apellaniz 2007, Chorizos)
#- COUSINS   (Maiz-Apellaniz 2007, Chorizos)
#- LANDOLT   (SYNPHOT, but confusion between B2 and B3 (same zeropoint assumed))
#- GENEVA    (Rufener database and GCPD)
#- BESSELL   (Bessel, 1990)  #-- but based on old Vega model (1980, see paper): Use colors (otherwise ZP(B)=-0.102)
#
#
# THE FOLLOWING SYSTEMS ARE VERY UNCERTAIN
#- JOHNSON
#=================================
#photband               eff_wave type    vegamag vegamag_lit ABmag ABmag_lit STmag STmag_lit       Flam0 Flam0_units  Flam0_lit        Fnu0 Fnu0_units   Fnu0_lit source                                                               
#<S50                        >f8 |S3         >f8       int32   >f8     int32   >f8     int32         >f8 |S50             int32         >f8 |S50            int32 |S100                                                                
 ACSSBC.F115LP           1406.06 CCD         nan           0   nan         0   nan         0 4.52309e-09 erg/s/cm2/AA         0 3.15346e-21 erg/s/cm2/Hz        0 nan                                                                  
 ACSSBC.F122M            1273.65 CCD         nan           0   nan         0   nan         0 1.78382e-09 erg/s/cm2/AA         0 1.07417e-21 erg/s/cm2/Hz        0 nan                                                                  
 ACSSBC.F125LP           1437.54 CCD         nan           0   nan         0   nan         0 5.10956e-09 erg/s/cm2/AA         0 3.64435e-21 erg/s/cm2/Hz        0 nan                                                                  
 ACSSBC.F140LP              1527 CCD         nan           0   nan         0   nan         0 6.32305e-09 erg/s/cm2/AA         0 4.94628e-21 erg/s/cm2/Hz        0 nan                                                                  
 ACSSBC.F150LP           1610.66 CCD         nan           0   nan         0   nan         0 6.59853e-09 erg/s/cm2/AA         0 5.70815e-21 erg/s/cm2/Hz        0 nan                                                                  
 ACSSBC.F165LP            1757.9 CCD         nan           0   nan         0   nan         0 6.23655e-09 erg/s/cm2/AA         0 6.42689e-21 erg/s/cm2/Hz        0 nan                                                                  
 ACSWFC.F435W            4317.42 CCD         nan           0   nan         0   nan         0 6.41395e-09 erg/s/cm2/AA         0 3.96998e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSWFC.F475W            4744.37 CCD         nan           0   nan         0   nan         0 5.29277e-09 erg/s/cm2/AA         0 4.00885e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSWFC.F502N               5023 CCD         nan           0   nan         0   nan         0 4.66007e-09 erg/s/cm2/AA         0 3.92177e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSWFC.F550M            5581.24 CCD         nan           0   nan         0   nan         0 3.41655e-09 erg/s/cm2/AA         0 3.55448e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSWFC.F555W            5359.57 CCD         nan           0   nan         0   nan         0 3.81192e-09 erg/s/cm2/AA         0 3.68525e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSWFC.F606W            5917.68 CCD         nan           0   nan         0   nan         0 2.87124e-09 erg/s/cm2/AA         0 3.38912e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSWFC.F625W            6310.47 CCD         nan           0   nan         0   nan         0 2.35216e-09 erg/s/cm2/AA         0 3.10892e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSWFC.F658N            6583.95 CCD         nan           0   nan         0   nan         0 1.77549e-09 erg/s/cm2/AA         0 2.56823e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSWFC.F660N            6599.43 CCD         nan           0   nan         0   nan         0 1.93353e-09 erg/s/cm2/AA         0 2.80924e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSWFC.F775W            7693.02 CCD         nan           0   nan         0   nan         0 1.28672e-09 erg/s/cm2/AA         0 2.53085e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSWFC.F814W            8059.77 CCD         nan           0   nan         0   nan         0 1.13432e-09 erg/s/cm2/AA         0  2.4528e-20 erg/s/cm2/Hz        0 nan                                                                  
 ACSWFC.F850LP           9054.79 CCD         nan           0   nan         0   nan         0 8.21948e-10 erg/s/cm2/AA         0 2.25165e-20 erg/s/cm2/Hz        0 nan                                                                  
 AKARI.L15                156841 BOL         nan           0   nan         0   nan         0 2.00796e-14 erg/s/cm2/AA         0 1.67264e-22 erg/s/cm2/Hz        0 nan                                                                  
 AKARI.L18W               186321 BOL         nan           0   nan         0   nan         0 1.03826e-14 erg/s/cm2/AA         0 1.23954e-22 erg/s/cm2/Hz        0 nan                                                                  
